,PMID,Author ,Year,Cambridge_Scale7_label,x,y,z
107,24771519,Myers,2014,6,,,
108,24771519,Myers,2014,6,,,
109,24771519,Myers,2014,6,,,
110,24771519,Myers,2014,6,,,
111,24771519,Myers,2014,6,,,
112,24771519,Myers,2014,5,,,
113,24771519,Myers,2014,6,,,
114,24771519,Myers,2014,7,,,
115,24771519,Myers,2014,6,,,
116,24771519,Myers,2014,2,,,
117,24771519,Myers,2014,6,,,
118,24771519,Myers,2014,6,,,
119,24771519,Myers,2014,6,,,
120,24771519,Myers,2014,7,,,
121,24771519,Myers,2014,7,,,
122,24771519,Myers,2014,7,,,
123,24771519,Myers,2014,7,,,
124,24771519,Myers,2014,0,0.0,20.0,16.0
125,24771519,Myers,2014,7,,,
126,24771519,Myers,2014,7,,,
127,24771519,Myers,2014,7,,,
128,24996404,Koch,2015,5,,,
129,24996404,Koch,2015,5,,,
130,24996404,Koch,2015,5,,,
131,24996404,Koch,2015,5,,,
132,24996404,Koch,2015,6,,,
133,24996404,Koch,2015,5,,,
134,24996404,Koch,2015,5,,,
135,24996404,Koch,2015,5,,,
136,24996404,Koch,2015,0,6.0,-66.0,34.0
137,24996404,Koch,2015,5,,,
138,24996404,Koch,2015,5,,,
139,24996404,Koch,2015,6,,,
140,24996404,Koch,2015,6,,,
141,24996404,Koch,2015,5,,,
142,24996404,Koch,2015,5,,,
143,24996404,Koch,2015,5,,,
144,24996404,Koch,2015,5,,,
145,24996404,Koch,2015,5,,,
146,24996404,Koch,2015,5,,,
147,24996404,Koch,2015,5,,,
148,24996404,Koch,2015,5,,,
149,24996404,Koch,2015,5,,,
150,24996404,Koch,2015,5,,,
151,24996404,Koch,2015,5,,,
152,24996404,Koch,2015,5,,,
153,24996404,Koch,2015,5,,,
154,24996404,Koch,2015,5,,,
155,24996404,Koch,2015,6,,,
156,24996404,Koch,2015,6,,,
157,24996404,Koch,2015,5,,,
158,24996404,Koch,2015,5,,,
159,24996404,Koch,2015,1,,,
160,24996404,Koch,2015,6,,,
161,24996404,Koch,2015,6,,,
162,24996404,Koch,2015,5,,,
163,24996404,Koch,2015,6,,,
164,24996404,Koch,2015,1,,,
165,24996404,Koch,2015,6,,,
166,24996404,Koch,2015,5,,,
167,24996404,Koch,2015,0,24.0,16.0,66.0
168,24996404,Koch,2015,2,,,
169,24996404,Koch,2015,5,,,
170,24996404,Koch,2015,5,,,
171,24996404,Koch,2015,6,,,
172,24996404,Koch,2015,2,,,
173,24996404,Koch,2015,6,,,
174,24996404,Koch,2015,1,,,
175,24996404,Koch,2015,6,,,
176,24996404,Koch,2015,4,,,
177,24996404,Koch,2015,6,,,
178,24996404,Koch,2015,6,,,
179,24996404,Koch,2015,6,,,
180,24996404,Koch,2015,6,,,
181,24996404,Koch,2015,6,,,
182,24996404,Koch,2015,6,,,
183,24996404,Koch,2015,6,,,
184,24996404,Koch,2015,5,,,
185,24996404,Koch,2015,6,,,
186,24996404,Koch,2015,7,,,
187,24996404,Koch,2015,6,,,
188,24996404,Koch,2015,2,,,
189,24996404,Koch,2015,6,,,
190,24996404,Koch,2015,6,,,
191,24996404,Koch,2015,6,,,
192,24996404,Koch,2015,7,,,
193,24996404,Koch,2015,7,,,
194,24996404,Koch,2015,7,,,
195,24996404,Koch,2015,7,,,
196,24996404,Koch,2015,0,0.0,20.0,16.0
197,24996404,Koch,2015,7,,,
198,24996404,Koch,2015,7,,,
199,24996404,Koch,2015,7,,,
200,25043909,Pasquini,2015,5,,,
201,25043909,Pasquini,2015,5,,,
202,25043909,Pasquini,2015,5,,,
203,25043909,Pasquini,2015,6,,,
204,25043909,Pasquini,2015,5,,,
205,25043909,Pasquini,2015,5,,,
206,25043909,Pasquini,2015,2,,,
207,25043909,Pasquini,2015,1,,,
208,25043909,Pasquini,2015,1,,,
209,25043909,Pasquini,2015,2,,,
210,25043909,Pasquini,2015,2,,,
211,25043909,Pasquini,2015,0,17.0,-14.0,-22.0
212,25043909,Pasquini,2015,2,,,
213,25043909,Pasquini,2015,5,,,
214,25043909,Pasquini,2015,5,,,
215,25043909,Pasquini,2015,0,-3.0,-29.0,-28.0
216,25043909,Pasquini,2015,0,3.0,-29.0,-28.0
217,25043909,Pasquini,2015,5,,,
218,25043909,Pasquini,2015,5,,,
219,25043909,Pasquini,2015,1,,,
220,25043909,Pasquini,2015,5,,,
221,25745400,Yi,2015,5,,,
222,25745400,Yi,2015,7,,,
223,21862179,Binnewijzend,2012,6,,,
224,21862179,Binnewijzend,2012,6,,,
225,21862179,Binnewijzend,2012,3,,,
226,21862179,Binnewijzend,2012,4,,,
227,21862179,Binnewijzend,2012,4,,,
228,21862179,Binnewijzend,2012,1,,,
229,21862179,Binnewijzend,2012,7,,,
230,21862179,Binnewijzend,2012,5,,,
231,21862179,Binnewijzend,2012,6,,,
232,21862179,Binnewijzend,2012,7,,,
233,21862179,Binnewijzend,2012,7,,,
234,21862179,Binnewijzend,2012,5,,,
235,21862179,Binnewijzend,2012,5,,,
